Page,Visitors,Total
"ctrl-f.plus",3531,5180
"ctrl-f-plus-website-k98eoddo7-bmchavez-s-team.vercel.app",4,4
"ctrl-f-plus-website-git-master-bmchavez-s-team.vercel.app",2,5
